node,x,y
A1BG,-0.13717998564243317,-0.46830156445503235
ABCB11,-0.25876384973526,-0.4170805811882019
ABCB4,-0.14012964069843292,-0.5872003436088562
ACOT12,-0.11645347625017166,-0.39874404668807983
ACSM2A,-0.32339340448379517,-0.48797711730003357
ACSM2B,-0.3325819969177246,-0.4980691075325012
ADH1A,-0.1336686760187149,-0.3125231862068176
ADH4,-0.3619823157787323,-0.27320006489753723
AFM,-0.2740832567214966,-0.4407954812049866
AFP,-0.12326172739267349,-0.5185489654541016
AGXT,-0.13990674912929535,-0.3847304880619049
AHSG,-0.12153001129627228,-0.500005841255188
AKR1C4,0.02312842197716236,-0.23117294907569885
AKR1C8,-0.22487232089042664,-0.4230293333530426
AKR1D1,-0.1482708752155304,-0.5630245804786682
ALB,-0.06978166103363037,-0.38842713832855225
AMBP,0.09287633746862411,-0.2038375735282898
ANGPTL3,-0.3211159110069275,-0.48602044582366943
ANGPTL6,-0.16071511805057526,-0.6158302426338196
ANGPTL8,-0.1783023476600647,-0.6054878234863281
APCS,0.05081125348806381,-0.2329808920621872
APOA2,-0.19488058984279633,-0.360843300819397
APOA5,-0.12929046154022217,-0.5485175251960754
APOC3,-0.47963273525238037,-0.27242180705070496
APOC4,-0.19769321382045746,-0.41094985604286194
APOF,-0.0827927440404892,-0.5007303953170776
APOH,-0.09084414690732956,-0.3830172121524811
ARID3C,-0.22200748324394226,-0.39987343549728394
ARMC6,-0.39497557282447815,-0.15312515199184418
ASGR1,-0.2671957314014435,-0.3299741744995117
ASGR2,0.02181343547999859,-0.276863157749176
ATF5,-0.1258954554796219,-0.5876536965370178
BAAT,0.00646356213837862,-0.2543996274471283
C4BPA,-0.0935959666967392,-0.5469303727149963
C4BPB,-0.17082056403160095,-0.32493793964385986
C5,-0.12552987039089203,-0.5837975144386292
C8A,-0.05912686511874199,-0.30887994170188904
C8B,-0.09450335055589676,-0.5091754198074341
C8G,-0.344043105840683,-0.27429521083831787
C9,-0.187933087348938,-0.4231767952442169
CA5A,-0.12178623676300049,-0.4703438878059387
CCL16,-0.12604117393493652,-0.575823962688446
CFHR1,-0.14114154875278473,-0.37989065051078796
CFHR2,-0.12056543678045273,-0.50898277759552
CFHR3,-0.12591654062271118,-0.5368943214416504
CFHR4,-0.12426162511110306,-0.45704385638237
CFHR5,-0.11310762912034988,-0.40614521503448486
CHST13,-0.3562754988670349,-0.20886942744255066
CLDN14,-0.2225576639175415,-0.4320305585861206
CLEC1B,-0.1530204713344574,-0.6050052642822266
CLEC4M,-0.1682678908109665,-0.3965262174606323
COLEC10,-0.032255515456199646,-0.5190340876579285
CPB2,-0.08967345207929611,-0.5231221914291382
CPN1,-0.251653790473938,-0.33629101514816284
CPN2,-0.20592661201953888,-0.4412004351615906
CRP,0.07994038611650467,-0.2109929919242859
CYP1A2,0.005857589188963175,-0.5039246678352356
CYP26A1,-0.1377246230840683,-0.4690844714641571
CYP2A13,-0.09441033005714417,-0.5023002624511719
CYP2A6,-0.13447584211826324,-0.5453600883483887
CYP2A7,-0.07746128737926483,-0.5133948922157288
CYP2B6,-0.4354461133480072,-0.3285672664642334
CYP2C19,-0.598822295665741,-0.30150529742240906
CYP2C8,-0.060985736548900604,-0.37296581268310547
CYP2C9,-0.608041524887085,-0.3110644519329071
CYP2D6,-0.23823319375514984,-0.2919473946094513
CYP2E1,-0.14120171964168549,-0.5303053855895996
CYP3A43,-0.1302076131105423,-0.5779090523719788
CYP3A7,-0.17689979076385498,-0.4202605187892914
CYP4A11,-0.31629374623298645,-0.46180295944213867
CYP4A22,-0.27559223771095276,-0.4238489270210266
CYP7A1,-0.06908092647790909,-0.4955403208732605
CYP8B1,-0.21160994470119476,-0.41518470644950867
DHODH,-0.061943791806697845,-0.537907600402832
DNMT3L,-0.16979071497917175,-0.415131539106369
EPO,-0.13623255491256714,-0.6029448509216309
F12,-0.13562732934951782,-0.48829352855682373
F13B,-0.12705178558826447,-0.31707847118377686
F2,-0.1363649219274521,-0.5271159410476685
F7,-0.23008210957050323,-0.40324145555496216
F9,-0.13881392776966095,-0.4758675992488861
FETUB,-0.07167962938547134,-0.5615523457527161
FGA,-0.07177038490772247,-0.37117835879325867
FGB,-0.11311609297990799,-0.37940946221351624
FGF21,-0.05769621208310127,-0.5128835439682007
FGG,-0.050170253962278366,-0.38653624057769775
FGL1,-0.13246756792068481,-0.5929896235466003
FMO3,-0.10351921617984772,-0.331400066614151
GALP,-0.23213955760002136,-0.4448935091495514
GCGR,-0.33560383319854736,-0.43461161851882935
GCKR,-0.051233772188425064,-0.39211979508399963
GDF2,-0.050315845757722855,-0.49101778864860535
GFRAL,-0.25786611437797546,-0.41406893730163574
GLTPD2,-0.03432339429855347,-0.4198260009288788
GLYATL1,-0.32772260904312134,-0.47692808508872986
GLYATL3,-0.08510419726371765,-0.4914732277393341
GYS2,-0.0680648609995842,-0.5579667687416077
HAO1,-0.1512545943260193,-0.42318370938301086
HGFAC,-0.24405111372470856,-0.37559494376182556
HPX,-0.11422916501760483,-0.5515309572219849
HRG,-0.16787835955619812,-0.4091567397117615
HSD17B13,-0.13623405992984772,-0.5673478245735168
IGFALS,-0.05562382936477661,-0.3450683653354645
IL27,-0.14800718426704407,-0.5856088995933533
INHBC,-0.2238689661026001,-0.35454943776130676
INHBE,-0.04394347220659256,-0.5197473764419556
ITIH1,-0.14122922718524933,-0.5676405429840088
ITIH2,-0.13186825811862946,-0.5171119570732117
ITIH3,-0.14206568896770477,-0.5659719109535217
ITIH4,-0.013179644010961056,-0.5616199970245361
KDM8,-0.29743078351020813,-0.2979922890663147
KLKB1,-0.05928217992186546,-0.39778342843055725
KNG1,-0.31183531880378723,-0.4713035821914673
LBP,-0.1749672293663025,-0.5929476618766785
LECT2,-0.32104045152664185,-0.2404268980026245
LGSN,-0.3187478482723236,-0.4879554808139801
LIPC,-0.18053041398525238,-0.3962898254394531
LPA,-0.1537117063999176,-0.47918424010276794
MAT1A,-0.2300845831632614,-0.42472970485687256
MBL2,-0.1050708144903183,-0.45927000045776367
MIP,-0.34873536229133606,-0.14758774638175964
MMUT,0.2716127932071686,0.4318102300167084
MT1B,-0.07852040976285934,-0.5166367292404175
NADK2,-0.08910339325666428,-0.5170832872390747
NPBWR1,0.0030836279038339853,-0.2842366397380829
NPW,-0.06504452973604202,-0.3605383038520813
NR1I3,-0.07670123875141144,-0.41803672909736633
OIT3,-0.41076695919036865,-0.27248772978782654
OR10J5,-0.10400079935789108,-0.4888525903224945
OR4K17,0.07088949531316757,-0.5538980960845947
ORM1,-0.23354288935661316,-0.35085201263427734
ORM2,-0.20551814138889313,-0.36604613065719604
PKD1L3,-0.20362232625484467,-0.31112194061279297
PLG,-0.3007580637931824,-0.45319563150405884
PLGLB2,-0.14738164842128754,-0.534967303276062
PON1,-0.1368407905101776,-0.46821990609169006
PRAMEF10,-0.07966901361942291,-0.45740553736686707
PRAMEF15,-0.10647747665643692,-0.4648147225379944
PRAMEF33,-0.09620697051286697,-0.502403736114502
PRAMEF8,-0.08468297868967056,-0.49907442927360535
PROC,-0.09097738564014435,-0.4075077772140503
PROZ,-0.23814190924167633,-0.454584538936615
PRSS53,-0.06994941830635071,-0.5502556562423706
PZP,-0.23305249214172363,-0.4077656865119934
RDH16,-0.14316749572753906,-0.5183764696121216
RFPL4A,-0.3614567816257477,-0.20541314780712128
RFPL4AL1,-0.37011682987213135,-0.2279805988073349
RIPPLY1,-0.284358948469162,-0.4940515458583832
RTL4,-0.2927181124687195,-0.4803045392036438
SAA4,-0.05859522148966789,-0.533272385597229
SEBOX,-0.2829810082912445,-0.2472572922706604
SERPINA10,0.028901319950819016,-0.5178734064102173
SERPINA11,-0.07214399427175522,-0.5183106064796448
SERPINA7,-0.14199121296405792,-0.35198527574539185
SERPINC1,-0.15135666728019714,-0.39543864130973816
SERPIND1,-0.09327486157417297,-0.5295066833496094
SLC10A1,-0.11259826272726059,-0.5015511512756348
SLC13A5,-0.25625669956207275,-0.43451160192489624
SLC17A2,-0.13899509608745575,-0.47547873854637146
SLC22A1,-0.10998398810625076,-0.5370148420333862
SLC22A10,-0.021832972764968872,-0.4948444664478302
SLC22A25,0.06156123802065849,-0.540893018245697
SLC22A7,-0.260476678609848,-0.4501965045928955
SLC22A9,-0.07546801120042801,-0.49977704882621765
SLC25A47,-0.13454553484916687,-0.44066572189331055
SLC38A4,-0.044843874871730804,-0.5350408554077148
SLCO1B1,-0.12082541733980179,-0.5170162916183472
SLCO1B3,-0.09089701622724533,-0.5288258790969849
SMLR1,-0.4268113076686859,-0.28115782141685486
SPDYC,-0.30473974347114563,-0.21918250620365143
TAT,-0.1492123156785965,-0.5761134028434753
TDO2,-0.19068895280361176,-0.3250388205051422
TFR2,-0.198439359664917,-0.38325121998786926
TMPRSS6,-0.061994992196559906,-0.32644614577293396
TTC36,-0.5259450078010559,-0.299197793006897
TTPA,-0.0963069424033165,-0.5015960335731506
UGT1A3,-0.26128631830215454,-0.2902843654155731
UGT1A4,-0.20557643473148346,-0.2883991003036499
UGT2A2,-0.34180086851119995,-0.507451057434082
UGT2B10,-0.03943982720375061,-0.3228599429130554
UGT2B4,-0.06982194632291794,-0.513020396232605
UPB1,-0.29499733448028564,-0.4750904440879822
UROC1,-0.17106585204601288,-0.4186626970767975
A1CF,-0.27568137645721436,-0.3653188645839691
ABCC2,-0.4868190884590149,-0.29404550790786743
ABCC6,0.37992337346076965,0.48305457830429077
ABCD3,-0.45600026845932007,-0.37046825885772705
ABCG5,-0.5630035400390625,-0.29213741421699524
ABCG8,-0.5322407484054565,-0.28990408778190613
ACY1,0.3173494040966034,0.42978209257125854
ACY3,-0.2508971691131592,-0.4301499128341675
ADGRG7,-0.371187299489975,-0.22671379148960114
ADH1C,0.14060738682746887,0.15919023752212524
ADH6,-0.3146964907646179,-0.36551734805107117
AGMAT,-0.409513384103775,-0.36202767491340637
AGMO,-0.5197787880897522,-0.2955975830554962
AKR7A3,-0.2981448769569397,-0.4485257863998413
AKR7L,-0.3249833285808563,-0.4157485365867615
ALDOB,-0.259489506483078,-0.4393618702888489
AMN,-0.4147091209888458,-0.3486398458480835
ANKS4B,-0.35410404205322266,-0.3350125253200531
ANPEP,0.4110345244407654,0.2935134768486023
APOA4,-0.4974176585674286,-0.2891724705696106
APOB,-0.49527135491371155,-0.2778976857662201
ARSL,-0.09599389135837555,-0.3986808955669403
ASL,-0.6247454285621643,-0.2708464562892914
CCL15,-0.3425830900669098,-0.33502382040023804
CDHR2,-0.418403685092926,-0.3197742998600006
CDHR5,-0.3721015453338623,-0.29466456174850464
CES2,-0.40003395080566406,-0.3128453195095062
CES3,-0.336849570274353,-0.38225147128105164
CLRN3,-0.3786013424396515,-0.29874464869499207
CPT2,0.007421708200126886,-0.259972482919693
CREB3L3,-0.5414878726005554,-0.2984803020954132
CYP3A4,-0.5857546925544739,-0.29969146847724915
CYP3A5,0.1269686073064804,-0.23160026967525482
CYP4F2,-0.5279932022094727,-0.2929835319519043
DDC,-0.24710924923419952,-0.41241398453712463
DEPDC7,-0.48688021302223206,-0.3031698763370514
DERA,-0.44314274191856384,-0.3588109016418457
DNAJC22,-0.3480934500694275,-0.3960734009742737
EFNA2,-0.37785041332244873,-0.3101541996002197
EHHADH,0.3553611934185028,0.46695026755332947
ENTPD5,-0.39872851967811584,-0.3395422697067261
ENTPD8,-0.4294801652431488,-0.323131263256073
EXOC3L4,0.45201870799064636,0.03298555314540863
F11,-0.29211974143981934,-0.48374804854393005
FAHD1,0.25716546177864075,0.38481974601745605
FAM151A,-0.34863296151161194,-0.5479114651679993
FMO4,0.3751079738140106,0.47670137882232666
FMO5,-0.342593789100647,-0.45427173376083374
FOXA3,-0.3371306359767914,-0.42886340618133545
FZD5,-0.2556793689727783,0.41930925846099854
G6PC1,-0.4936814308166504,-0.29001080989837646
GBA3,-0.32177871465682983,-0.3818911015987396
GC,0.07852240651845932,-0.21896252036094666
GIPC2,0.2641626298427582,0.3496771454811096
GLOD5,-0.3679167628288269,-0.3720962703227997
GLYCTK,-0.5881671905517578,-0.2726675570011139
GSTA2,-0.29363957047462463,-0.46068650484085083
GUCA2B,-0.47893357276916504,-0.162046417593956
HGD,-0.3398166000843048,-0.43176358938217163
HMGCS2,-0.40401577949523926,-0.3512754738330841
HNF1A,-0.29480844736099243,-0.4025620222091675
HNF1B,-0.0019794334657490253,-0.38983216881752014
HNF4A,-0.28115561604499817,-0.3720349371433258
HNF4G,-0.42054206132888794,-0.3135238587856293
HSD17B11,0.44564375281333923,0.3425624966621399
HSD17B2,0.15233007073402405,-0.2842258810997009
IGSF23,-0.5954095721244812,-0.29920142889022827
KHK,-0.03449314460158348,-0.452371209859848
KLC4,-0.3379393219947815,-0.40255865454673767
LBX2,-0.5582836866378784,-0.2725101113319397
LGALS4,0.12049053609371185,0.13963620364665985
LRRC19,-0.45511940121650696,-0.23910392820835114
MEP1B,-0.47850465774536133,-0.2966209948062897
MOGAT2,-0.3174470067024231,-0.17416302859783173
MOGAT3,-0.3514794707298279,-0.244920015335083
MTTP,-0.49887001514434814,-0.29166534543037415
MUC13,0.030873477458953857,0.08306258171796799
MUC3A,-0.4074602425098419,-0.2608952522277832
NAGS,-0.4918569326400757,-0.2897145748138428
NAT2,-0.3370397686958313,-0.21682317554950714
NAT8,-0.3361620008945465,-0.5379557013511658
NAT8B,-0.5472432374954224,-0.16057397425174713
NPC1L1,-0.5732811689376831,-0.2993428707122803
NR0B2,-0.3003973364830017,-0.4947965145111084
NR1H4,-0.5190531611442566,-0.29944100975990295
NR1I2,-0.36028429865837097,-0.2593704164028168
NR5A2,-0.21057529747486115,-0.391106516122818
OMP,-0.3955477178096771,-0.25779902935028076
OTC,-0.5503232479095459,-0.2837335169315338
PBLD,-0.2630557119846344,-0.42204752564430237
PCK1,-0.3683205246925354,-0.3515137732028961
PCK2,-0.43805137276649475,-0.35034388303756714
PDZD3,-0.47037068009376526,-0.21534740924835205
PDZK1,-0.02961733192205429,-0.3618903160095215
PECR,0.37349069118499756,0.4788057208061218
PKLR,-0.01750960387289524,-0.4297283887863159
PLA2G12B,-0.40768858790397644,-0.2975701093673706
PLS1,-0.4262806475162506,-0.32057899236679077
SEC16B,-0.5572589635848999,-0.2848128378391266
SEMA4G,-0.31002166867256165,-0.41203030943870544
SEPHS2,-0.42786261439323425,-0.37050163745880127
SEPSECS,-0.15304547548294067,-0.4181946814060211
SERPINA1,-0.6108008623123169,-0.2774484157562256
SGK2,-0.2998923063278198,-0.44823601841926575
SLC10A5,-0.32141542434692383,-0.3827270567417145
SLC17A4,-0.14742043614387512,-0.38097575306892395
SLC25A15,-0.6029278635978699,-0.29845547676086426
SLC28A1,-0.49952611327171326,-0.2931396961212158
SLC2A2,-0.4673463702201843,-0.2822711169719696
SLC35D1,-0.33092355728149414,-0.3754044473171234
SLC35D2,-0.6994253993034363,-0.2735495865345001
SLC35G1,-0.45736345648765564,-0.28709688782691956
SLC37A4,0.38205525279045105,0.46512219309806824
SLC39A5,-0.19406332075595856,-0.3987642526626587
SLC3A1,-0.09246383607387543,-0.39061638712882996
SLC41A2,-0.3571781814098358,-0.458981454372406
SLC46A3,0.12070530652999878,-0.5016546249389648
SLC51A,-0.5399742722511292,-0.29269132018089294
SLC5A9,-0.608055055141449,-0.3049190938472748
SLC6A19,-0.5082393288612366,-0.18576176464557648
SLC7A9,-0.5670804381370544,-0.153400257229805
SPINK1,-0.4807341396808624,-0.11956663429737091
SULT1A2,-0.3886994421482086,-0.2122698575258255
TBX10,-0.290930837392807,-0.09313807636499405
TM4SF4,-0.6166457533836365,-0.31119027733802795
TM4SF5,-0.32662007212638855,-0.3630533516407013
TM6SF2,-0.5202286243438721,-0.3033427298069
TMEM82,-0.41171500086784363,-0.3291473984718323
TREH,-0.5737878680229187,-0.16670745611190796
TRIM15,-0.39644917845726013,-0.315460741519928
TTC38,-0.5774047374725342,-0.27385106682777405
UGT1A1,-0.5930569767951965,-0.3039065897464752
UGT2A3,-0.13670045137405396,-0.37225112318992615
