node,x,y
TSPAN6,0.10950627,0.34295937
TNMD,0.30398405,0.6009861
DPM1,0.18705676,0.2186759
SCYL3,0.14577976,0.576849
C1orf112,0.32620984,0.56740844
FGR,0.32916278,0.3762532
CFH,0.21435636,0.044171587
FUCA2,0.20211856,0.30942103
GCLC,0.10986466,0.22474329
NFYA,0.06432154,0.4322007
STPG1,0.18730786,0.6652442
NIPAL3,0.19446647,0.361923
LAS1L,0.15179846,0.4143829
ENPP4,0.11906121,0.48420662
SEMA3F,0.14913298,0.36299306
CFTR,0.42653465,0.31848356
ANKIB1,0.103332184,0.44778505
CYP51A1,0.14090684,0.20735197
KRIT1,0.15248594,0.5855078
RAD52,0.17784536,0.5967316
BAD,0.2648671,0.22265705
LAP3,0.24218714,0.1838947
CD99,0.35924095,0.1755452
HS3ST1,0.27779755,0.6140603
AOC1,0.28376588,0.41377476
WNT16,0.53764963,0.5990566
HECW1,0.3184294,0.7385995
MAD1L1,0.13091612,0.5154011
LASP1,0.23735097,0.18945976
SNX11,0.082382634,0.45151702
TMEM176A,0.21059968,0.057358954
M6PR,0.2738022,0.17922789
KLHL13,0.21333613,0.55634564
CYP26B1,0.19522403,0.60382754
ICA1,0.12792835,0.4209715
DBNDD1,0.24610408,0.37241983
ALS2,0.21926692,0.6322361
CASP10,0.18233843,0.5542348
CFLAR,0.26137948,0.17314716
TFPI,0.13751942,0.16665009
NDUFAF7,0.1052324,0.5875087
RBM5,0.2628387,0.18678059
MTMR7,0.23769125,0.71091014
SLC7A2,0.21658368,0.301479
ARF5,0.3289958,0.15889302
SARM1,0.30379474,0.64630365
POLDIP2,0.2626683,0.13036843
PLXND1,0.19512779,0.35716727
AK2,0.26060247,0.1610124
CD38,0.36653528,0.43955076
FKBP4,0.21345985,0.22955705
KDM1A,0.08915932,0.33122882
RBM6,0.26893005,0.1877922
CAMKK1,0.22988196,0.41116226
RECQL,0.087926544,0.3842271
VPS50,0.2579617,0.62104857
HSPB6,0.38434878,0.09472951
ARHGAP33,0.16811746,0.43887326
NDUFAB1,0.34717393,0.12185312
PDK4,0.37428695,0.084657654
SLC22A16,0.27549374,0.84952533
ZMYND10,0.061825406,0.8971793
ABCB5,0.7230979,0.70442015
ARX,0.24801156,0.5819554
SLC25A13,0.108830206,0.17069687
ST7,0.10035626,0.39250925
CDC27,0.085991316,0.35727882
SLC4A1,0.34232387,0.34787413
CALCR,0.38192993,0.76269454
HCCS,0.051881697,0.34464824
DVL2,0.12946758,0.38074875
PRSS22,0.5601187,0.53904456
UPF1,0.13660954,0.38227138
SKAP2,0.07893812,0.41949183
SLC25A5,0.34798002,0.16895403
MCUB,0.31724036,0.4734109
HOXA11,0.20637858,0.53414136
POLR2J,0.26118731,0.15400267
DHX33,0.1891561,0.598715
MEOX1,0.22809485,0.54226565
THSD7A,0.34195605,0.6489481
LIG3,0.12040967,0.5792798
RPAP3,0.07300587,0.43366265
ACSM3,0.11195737,0.16431883
REXO5,0.056954756,0.91138643
CIAPIN1,0.10691232,0.30174083
SPPL2B,0.16112325,0.304411
ATOSB,0.12430576,0.42081812
COPZ2,0.1765947,0.29998344
PRKAR2B,0.20132297,0.42416343
MSL3,0.06659684,0.39702377
CREBBP,0.07659721,0.3627801
TSPOAP1,0.24966127,0.32878506
MPO,0.37026176,0.31230238
PON1,0.16748513,0.094835
GCFC2,0.10914637,0.49145156
WDR54,0.18005759,0.7591024
CROT,0.095311746,0.45234558
ABCB4,0.102930166,0.1612733
KMT2E,0.13321538,0.5232032
RHBDD2,0.29593098,0.25202072
SOX8,0.2590634,0.3559737
IBTK,0.08681765,0.52958035
ZNF195,0.11760211,0.49314335
MYCBP2,0.109157786,0.36217955
FBXL3,0.13757177,0.26970053
ITGAL,0.33495978,0.42673245
PDK2,0.2734489,0.10947396
ITGA3,0.178895,0.3825296
ZFX,0.12669815,0.5165542
LAMP2,0.24668097,0.19905019
ITGA2B,0.33813244,0.53569055
ASB4,0.35096613,0.7038874
GDE1,0.1408909,0.25808114
REX1BD,0.22968864,0.24330714
CRLF1,0.20288995,0.38066033
OSBPL7,0.14397714,0.52292436
TMEM98,0.2495767,0.21668556
YBX2,0.055552863,0.91519403
KRT33A,0.5678405,0.57442963
MAP3K14,0.1272652,0.5797036
ABCC8,0.27319726,0.70427775
CACNG3,0.25405762,0.420667
TMEM132A,0.25933132,0.33435848
AP2B1,0.24010083,0.20908992
TAC1,0.2728906,0.35483366
ZNF263,0.11940829,0.40683207
CX3CL1,0.17941411,0.3635921
SPATA20,0.12003469,0.32560223
CACNA1G,0.28563142,0.7144591
TNFRSF12A,0.17112237,0.2623829
DLX6,0.31630546,0.7571427
MAP3K9,0.28531885,0.70215976
RALA,0.1342603,0.32040736
BAIAP2L1,0.41998035,0.48048252
KDM7A,0.20903835,0.5762348
ETV1,0.22961691,0.40647236
AGK,0.111927964,0.46303535
ALDH3B1,0.17291616,0.5037016
TTC22,0.5691831,0.52932334
PHTF2,0.02501444,0.31173563
CCL26,0.218018,0.7699537
FARP2,0.08927188,0.4653438
USH1C,0.45418268,0.4543283
GGCT,0.13280702,0.28912854
DBF4,0.29385543,0.86249006
TBXA2R,0.26139122,0.5604929
IFRD1,0.15318187,0.49114338
LGALS14,0.26923892,0.49924448
COX10,0.07164189,0.5342551
GTF2IRD1,0.050161272,0.3839655
PAF1,0.19324927,0.23651882
VPS41,0.118844576,0.3369781
ARHGAP44,0.21817178,0.6608441
ELAC2,0.121977136,0.278105
SCIN,0.2605551,0.4962696
ARSD,0.09776544,0.46093312
PNPLA4,0.056984704,0.32537836
MYH13,0.43079758,0.71295244
ADIPOR2,0.18100742,0.29315892
CDKL3,0.30109483,0.843167
UPP2,0.49808642,0.52991
PRSS21,0.09260093,0.8045022
MARK4,0.11891029,0.46797818
PROM1,0.8229721,0.49093086
CCDC124,0.26801693,0.19787219
CEACAM21,0.33157176,0.52419126
PAFAH1B1,0.18482994,0.23647217
NOS2,0.43341216,0.51880515
DNAH9,0.21289717,0.79596776
BLTP2,0.13510177,0.2681606
SLC13A2,0.4597025,0.45089757
GAS7,0.24671346,0.33811027
TRAPPC6A,0.16061899,0.28468478
MATK,0.25235853,0.42117894
CEACAM7,0.4496973,0.42702365
CD79B,0.35765034,0.38545537
SCN4A,0.012409678,0.29439405
ST7L,0.15534584,0.73767555
TKTL1,0.070067644,0.8583227
PAX6,0.23373742,0.4395952
RPUSD1,0.14364007,0.45376292
RHBDF1,0.18228285,0.34036565
LUC7L,0.20834687,0.25783813
CACNA2D2,0.30033088,0.57180583
BAIAP3,0.27681163,0.33515936
TSR3,0.21962644,0.23212601
PIGQ,0.13478431,0.41468084
CRAMP1,0.12919353,0.53662944
TEAD3,0.18729402,0.34147808
SELE,0.22191495,0.5526542
DNAJC11,0.062015533,0.38921562
FMO3,0.20473066,0.052719958
MYLIP,0.090048775,0.31155786
NOX1,0.43074572,0.48255703
E2F2,0.31920403,0.53237134
PSMB1,0.34921888,0.16212747
SYN1,0.29241326,0.3028938
JARID2,0.17991517,0.51580477
CDKL5,0.2775653,0.6852385
CAMK1G,0.2518131,0.43931586
CDK11A,0.1345897,0.33388156
NADK,0.16863938,0.24651286
TFAP2B,0.7223389,0.70508677
TFAP2D,0.8095239,0.92242515
DLEC1,0.21665552,0.79492104
CYTH3,0.13561468,0.4179155
ADAM22,0.23437364,0.44661605
SYPL1,0.27713802,0.17153032
CYB561,0.16051316,0.26314127
SPAG9,0.18174225,0.29376405
CELSR3,0.29642117,0.7150985
AASS,0.12457593,0.48241493
PLEKHG6,0.43265077,0.49407217
SS18L2,0.09806189,0.39175624
MPND,0.11967221,0.39534515
MGST1,0.21859345,0.029528437
CRY1,0.08453599,0.47350442
PGLYRP1,0.35397598,0.3316688
NFIX,0.28533635,0.1121791
ST3GAL1,0.06859379,0.35501006
MMP25,0.3329794,0.4849309
IL32,0.31974667,0.14138964
PKD1,0.23587157,0.37888485
MAPK8IP2,0.2620563,0.3468712
MED24,0.1564152,0.2448106
RHOBTB2,0.13238032,0.5283112
HEATR5B,0.09554195,0.4956642
SEC62,0.27241135,0.17395075
RPS20,0.45542374,0.13708887
CSDE1,0.3685016,0.11984607
UBE3C,0.0723242,0.321633
REV3L,0.20661315,0.6308658
TENM1,0.29072806,0.70323706
PAX7,0.40119967,0.7023751
MASP2,0.16082652,0.10252321
IYD,0.1938572,0.52391976
FAM76A,0.07916325,0.5108172
TRAF3IP3,0.35356918,0.40040475
POMT2,0.27650413,0.6525503
VTA1,0.12791477,0.2684677
MLXIPL,0.17706841,0.09328407
BAZ1B,0.103983685,0.32501468
RANBP9,0.09262807,0.3096075
ETV7,0.39774513,0.55059695
SPRTN,0.22710672,0.6067974
METTL13,0.09429485,0.5132468
DYRK4,0.15181935,0.72027177
ZNF207,0.27099743,0.1798509
UQCRC1,0.35907742,0.11280164
STARD3NL,0.15215102,0.31785652
CD9,0.36037117,0.16959462
HHATL,0.3218993,0.09088288
NCAPD2,0.28749603,0.45852086
IFFO1,0.19060034,0.5993099
GIPR,0.36609578,0.5757692
PHF7,0.055349268,0.9159708
SEMA3G,0.20378394,0.47301388
NISCH,0.26677,0.20652719
STAB1,0.31217772,0.26591837
FUZ,0.090875864,0.5980184
SLC6A13,0.51642334,0.5005007
IDS,0.30628553,0.28396764
PRSS3,0.4508303,0.27723104
ZNF200,0.24361257,0.640969
CD4,0.35401514,0.39561933
LRRC23,0.18899032,0.7864282
BTK,0.34849837,0.44312593
HFE,0.18494973,0.5872025
SCMH1,0.064819,0.36248252
FYN,0.23112625,0.24456987
HIVEP2,0.10356885,0.51147586
FMO1,0.51860005,0.49562886
ELOA,0.07484835,0.44870424
LYPLA2,0.20253286,0.22359565
CLCN6,0.15103886,0.4505588
MRC2,0.16812877,0.38740715
NME1-NME2,0.19159375,0.6888236
SLC6A7,0.23523994,0.4299087
TSPAN9,0.19184726,0.33404025
BTBD7,0.2872522,0.6296408
APBA3,0.18703392,0.59052503
MKS1,0.23071142,0.6347079
ABHD5,0.12731594,0.50341
ANOS1,0.29561928,0.576586
AKAP8L,0.13106564,0.36473727
MBTD1,0.13089511,0.596798
UTP18,0.09264864,0.32265398
RNF216,0.109466195,0.44387645
TTC19,0.14755216,0.5589587
PTBP1,0.2797352,0.18317696
DPF1,0.23916565,0.70600116
SYT7,0.19506535,0.40918207
LARS2,0.18162327,0.618538
PIK3C2A,0.09027392,0.45351
PLAUR,0.35289258,0.3282304
