node,x,y
TSPAN6,-16.386812,-2.299134
TNMD,-12.943346,1.7856146
DPM1,-15.013686,-4.26663
SCYL3,-15.744546,1.4035071
C1orf112,-12.549811,1.2540563
FGR,-12.497526,-1.7720684
CFH,-14.5303135,-7.0291586
FUCA2,-14.746999,-2.8300695
GCLC,-16.380466,-4.170579
NFYA,-17.186863,-0.8863794
STPG1,-15.00924,2.8028667
NIPAL3,-14.882488,-1.9989257
LAS1L,-15.637978,-1.168448
ENPP4,-16.21763,-0.063088395
SEMA3F,-15.685173,-1.981986
CFTR,-10.773438,-2.6866033
ANKIB1,-16.496132,-0.63966805
CYP51A1,-15.830827,-4.445896
KRIT1,-15.625805,1.5405821
RAD52,-15.176785,1.7182627
BAD,-13.63596,-4.2036057
LAP3,-14.037536,-4.8172417
CD99,-11.964955,-4.94942
HS3ST1,-13.40701,1.9925888
AOC1,-13.301333,-1.1780754
WNT16,-8.806012,1.7550694
HECW1,-12.687573,3.9641325
MAD1L1,-16.007725,0.43074265
LASP1,-14.123166,-4.7291427
SNX11,-16.86707,-0.58058816
TMEM176A,-14.59683,-6.820393
M6PR,-13.477753,-4.8911204
KLHL13,-14.548378,1.0789241
CYP26B1,-14.869075,1.8305963
ICA1,-16.060627,-1.0641453
DBNDD1,-13.968182,-1.8327538
ALS2,-14.443366,2.280325
CASP10,-15.09723,1.0455076
CFLAR,-13.697712,-4.987383
TFPI,-15.890805,-5.090236
NDUFAF7,-16.462486,1.572258
RBM5,-13.671875,-4.771556
MTMR7,-14.117141,3.5257905
SLC7A2,-14.490876,-2.9557977
ARF5,-12.500483,-5.213036
SARM1,-12.946698,2.5030236
POLDIP2,-13.674891,-5.664601
PLXND1,-14.870779,-2.0742126
AK2,-13.71147,-5.179485
CD38,-11.8358,-0.77002287
FKBP4,-14.546187,-4.0943737
KDM1A,-16.74708,-2.4848366
RBM6,-13.56402,-4.7555413
CAMKK1,-14.255414,-1.2194332
RECQL,-16.768908,-1.645836
VPS50,-13.758228,2.1032176
HSPB6,-11.5203905,-6.2287903
ARHGAP33,-15.34903,-0.780748
NDUFAB1,-12.178617,-5.799404
PDK4,-11.698547,-6.388235
SLC22A16,-13.447802,5.720168
ZMYND10,-17.23106,6.4745655
ABCB5,-5.5224237,3.4230492
ARX,-13.934407,1.4843444
SLC25A13,-16.398783,-5.0261726
ST7,-16.548824,-1.5147231
CDC27,-16.803173,-2.072446
SLC4A1,-12.264493,-2.2213295
CALCR,-11.563219,4.3455744
HCCS,-17.407125,-2.2723978
DVL2,-16.033373,-1.7009007
PRSS22,-8.408171,0.80503523
UPF1,-15.906916,-1.6767963
SKAP2,-16.928059,-1.0875701
SLC25A5,-12.164344,-5.053763
MCUB,-12.708627,-0.23399237
HOXA11,-14.67157,0.7274149
POLR2J,-13.701115,-5.290454
DHX33,-14.976515,1.7496607
MEOX1,-14.287057,0.8560284
THSD7A,-12.271006,2.5448873
LIG3,-16.193754,1.4419874
RPAP3,-17.033096,-0.86323553
ACSM3,-16.343412,-5.1271415
REXO5,-17.3173,6.699474
CIAPIN1,-16.432741,-2.951653
SPPL2B,-15.472871,-2.909382
ATOSB,-16.12477,-1.0665736
COPZ2,-15.19893,-2.9794734
PRKAR2B,-14.7610855,-1.0136154
MSL3,-17.146576,-1.4432555
CREBBP,-16.969507,-1.9853574
TSPOAP1,-13.905197,-2.5235233
MPO,-11.769818,-2.7844558
PON1,-15.360226,-6.2271204
GCFC2,-16.393185,0.05160412
WDR54,-15.137615,4.2887087
CROT,-16.638144,-0.5674715
ABCB4,-16.50325,-5.1753545
KMT2E,-15.967013,0.5542552
RHBDD2,-13.085936,-3.7387576
SOX8,-13.738721,-2.0931075
IBTK,-16.788542,0.6552105
ZNF195,-16.243465,0.078386284
MYCBP2,-16.392982,-1.9948646
FBXL3,-15.889878,-3.4588737
ITGAL,-12.394883,-0.97294575
PDK2,-13.484008,-5.995375
ITGA3,-15.1582,-1.6727092
ZFX,-16.082409,0.4489968
LAMP2,-13.957967,-4.577319
ITGA2B,-12.338707,0.7519397
ASB4,-12.111471,3.4146159
GDE1,-15.831109,-3.6428168
REX1BD,-14.258837,-3.8767
CRLF1,-14.73334,-1.7023004
OSBPL7,-15.7764635,0.5498416
TMEM98,-13.906694,-4.2981386
YBX2,-17.342123,6.7597513
KRT33A,-8.271446,1.3652064
MAP3K14,-16.072369,1.4486976
ABCC8,-13.488463,3.4207954
CACNG3,-13.827354,-1.0689663
TMEM132A,-13.733977,-2.4352915
AP2B1,-14.074476,-4.418383
TAC1,-13.493894,-2.111155
ZNF263,-16.211485,-1.2879831
CX3CL1,-15.149009,-1.9725033
SPATA20,-16.200394,-2.5739098
CACNA1G,-13.268302,3.5819738
TNFRSF12A,-15.295824,-3.574717
DLX6,-12.725181,4.2576866
MAP3K9,-13.273836,3.3872657
RALA,-15.948512,-2.656148
BAIAP2L1,-10.88949,-0.12204351
KDM7A,-14.6244755,1.3937842
ETV1,-14.260107,-1.2936778
AGK,-16.343933,-0.39824486
ALDH3B1,-15.264063,0.24553105
TTC22,-8.247674,0.6511416
PHTF2,-17.882843,-2.7934282
CCL26,-14.46548,4.4604936
FARP2,-16.745087,-0.36170033
USH1C,-10.283896,-0.5360839
GGCT,-15.974244,-3.1513145
DBF4,-13.122685,5.92541
TBXA2R,-13.697504,1.1445779
IFRD1,-15.613482,0.04672542
LGALS14,-13.558551,0.17497179
COX10,-17.057247,0.729215
GTF2IRD1,-17.437588,-1.6499772
PAF1,-14.90404,-3.984164
VPS41,-16.221466,-2.393821
ARHGAP44,-14.462757,2.733209
ELAC2,-16.166,-3.3258255
SCIN,-13.712309,0.12787707
ARSD,-16.594698,-0.43152484
PNPLA4,-17.31677,-2.5774536
MYH13,-10.697958,3.5581224
ADIPOR2,-15.120797,-3.0875106
CDKL3,-12.994503,5.619512
UPP2,-9.506527,0.6604294
PRSS21,-16.686142,5.00742
MARK4,-16.220303,-0.31999615
PROM1,-3.7540305,0.043361202
CCDC124,-13.580188,-4.595968
CEACAM21,-12.454872,0.56989753
PAFAH1B1,-15.053115,-3.9849024
NOS2,-10.651664,0.48463088
DNAH9,-14.55615,4.872314
BLTP2,-15.933613,-3.4832516
SLC13A2,-10.186161,-0.59039474
GAS7,-13.957392,-2.3758984
TRAPPC6A,-15.481799,-3.2216625
MATK,-13.857439,-1.0608618
CEACAM7,-10.363316,-0.9683359
CD79B,-11.993119,-1.6263915
SCN4A,-18.106026,-3.0679574
ST7L,-15.575167,3.9495068
TKTL1,-17.085121,5.8594375
PAX6,-14.187148,-0.76931965
RPUSD1,-15.782432,-0.54503405
RHBDF1,-15.098214,-2.3401942
LUC7L,-14.636719,-3.6466641
CACNA2D2,-13.00803,1.3236699
BAIAP3,-13.424467,-2.4226139
TSR3,-14.437,-4.053705
PIGQ,-15.939234,-1.1637316
CRAMP1,-16.038225,0.76680213
TEAD3,-15.009485,-2.322584
SELE,-14.39648,1.0204861
DNAJC11,-17.227694,-1.5668641
FMO3,-14.700748,-6.8938317
MYLIP,-16.73133,-2.7962422
NOX1,-10.698876,-0.08920281
E2F2,-12.673858,0.6993939
PSMB1,-12.142408,-5.1618323
SYN1,-13.148221,-2.9334004
JARID2,-15.140137,0.43713287
CDKL5,-13.411122,3.1193902
CAMK1G,-13.867096,-0.7737415
CDK11A,-15.942679,-2.4428422
NADK,-15.339788,-3.825951
TFAP2B,-5.5358644,3.4336026
TFAP2D,-3.992148,6.874225
DLEC1,-14.489604,4.855744
CYTH3,-15.924531,-1.1125247
ADAM22,-14.175883,-0.6581741
SYPL1,-13.418688,-5.0129786
CYB561,-15.483673,-3.5627115
SPAG9,-15.107786,-3.0779307
CELSR3,-13.077256,3.5920956
AASS,-16.119986,-0.09145214
PLEKHG6,-10.665145,0.09309004
SS18L2,-16.589449,-1.5266442
MPND,-16.206812,-1.4698293
MGST1,-14.455291,-7.26097
CRY1,-16.828941,-0.2325118
PGLYRP1,-12.058178,-2.4778717
NFIX,-13.273526,-5.952551
ST3GAL1,-17.111217,-2.1083627
MMP25,-12.429948,-0.051622465
IL32,-12.664249,-5.490127
PKD1,-14.149361,-1.7304077
MAPK8IP2,-13.685728,-2.2372065
MED24,-15.556232,-3.852899
RHOBTB2,-15.981799,0.6351189
HEATR5B,-16.634068,0.11829344
SEC62,-13.502379,-4.9746614
RPS20,-10.261922,-5.5582113
CSDE1,-11.800984,-5.831177
UBE3C,-17.045166,-2.6367455
REV3L,-14.667417,2.2586322
TENM1,-13.17806,3.4043202
PAX7,-11.222025,3.3906753
MASP2,-15.478125,-6.1054106
IYD,-14.893276,0.56559896
FAM76A,-16.924072,0.35817686
TRAF3IP3,-12.065381,-1.389732
POMT2,-13.429912,2.6019123
VTA1,-16.060867,-3.4783905
MLXIPL,-15.190542,-6.2516727
BAZ1B,-16.484596,-2.583211
RANBP9,-16.685661,-2.8271174
ETV7,-11.283192,0.98791856
SPRTN,-14.304553,1.8776118
METTL13,-16.656149,0.39663875
DYRK4,-15.637608,3.6739922
ZNF207,-13.527414,-4.8812575
UQCRC1,-11.967851,-5.9426956
STARD3NL,-15.631735,-2.69653
CD9,-11.944943,-5.043622
HHATL,-12.626135,-6.2896852
NCAPD2,-13.235287,-0.46971238
IFFO1,-14.950943,1.7590791
GIPR,-11.843582,1.3864131
PHF7,-17.345728,6.772048
SEMA3G,-14.717511,-0.24027765
NISCH,-13.602266,-4.458953
STAB1,-12.798267,-3.5187478
FUZ,-16.716686,1.7386332
SLC6A13,-9.1818495,0.19485803
IDS,-12.9025955,-3.233015
PRSS3,-10.343254,-3.3396602
ZNF200,-14.012297,2.4185722
CD4,-12.057485,-1.4654888
LRRC23,-14.97945,4.721296
BTK,-12.155166,-0.71342516
HFE,-15.050994,1.5674098
SCMH1,-17.178055,-1.9900684
FYN,-14.233382,-3.85671
HIVEP2,-16.491941,0.3686033
FMO1,-9.143309,0.11773383
ELOA,-17.000473,-0.6251163
LYPLA2,-14.739663,-4.188747
CLCN6,-15.651427,-0.5957573
MRC2,-15.348829,-1.5954934
NME1-NME2,-14.933353,3.1761453
SLC6A7,-14.160544,-0.9226636
TSPAN9,-14.9288645,-2.4403296
BTBD7,-13.239604,2.239239
APBA3,-15.014091,1.620008
MKS1,-14.240727,2.319456
ABHD5,-16.07147,0.24091445
ANOS1,-13.0914545,1.399344
AKAP8L,-16.005077,-1.9543736
MBTD1,-16.008097,1.719314
UTP18,-16.685297,-2.6205826
RNF216,-16.387522,-0.701544
TTC19,-15.713163,1.1202908
PTBP1,-13.372702,-4.8286037
DPF1,-14.091035,3.4480786
SYT7,-14.871884,-1.2507812
LARS2,-15.109893,2.063474
PIK3C2A,-16.727345,-0.54903793
PLAUR,-12.077361,-2.5323038
ANLN,-13.743919,-2.1193337
WIZ,-15.862585,-1.5067095
RABGAP1,-15.913557,-2.5582778
DCN,-10.911672,-5.2141757
QPCTL,-14.395426,2.1684935
PPP5C,-15.752073,-3.6650891
CEP68,-16.285711,0.54850996
MAP4K3,-16.93119,-1.3224715
ZBTB32,-15.925866,4.8979707
TYROBP,-12.27743,-3.1996825
LDAF1,-16.028677,-4.114378
GABRA3,-14.373886,4.496871
BRCA1,-13.857408,1.5539658
ERCC1,-14.622819,-4.538777
CD22,-12.03345,-1.5437698
SEMA3B,-14.050154,-3.213815
MBTPS2,-15.436685,1.3957123
PRICKLE3,-14.519861,1.7398406
LTF,-11.749746,-2.801626
EXTL3,-16.465656,0.21450402
NR1H4,-16.463404,-5.100306
ELOVL5,-13.969149,-4.701804
ALOX5,-12.582005,-0.8619041
KDM5D,-16.79408,-0.71692544
CALCOCO1,-13.258408,-5.0078373
UBR7,-16.86825,-1.7411761
MAP4K5,-16.887077,-0.7356106
EHD3,-15.438492,-0.23182045
PSMC4,-15.111435,-4.1569805
MAN2B2,-16.099968,-1.136815
SLC7A14,-13.692648,3.584081
CLDN11,-13.898169,-1.6960826
SLC25A39,-13.550174,-4.841215
MVP,-13.621857,-4.762454
NUB1,-15.4058695,-3.896843
PGM3,-16.390064,-0.5697389
RWDD2A,-14.331983,2.3661246
CLK1,-13.4714365,-4.9091234
POLR3B,-14.817104,1.730471
ANGEL1,-16.657314,-0.944049
RNF14,-14.853421,-4.486337
DNASE1L1,-16.164158,-4.222455
DDX11,-15.837939,0.5702993
HEBP1,-14.476071,-4.7630644
GPRC5A,-14.781579,-0.96776325
MAMLD1,-13.194513,2.5751798
CD6,-12.253891,-0.5072297
TACC3,-13.259406,-0.21826263
UFL1,-16.6355,-2.1882598
POLA2,-13.84663,1.1865637
ZC3H3,-16.322258,-0.16629794
CAPN1,-13.892528,-4.501819
ACP3,-10.596135,2.1733708
MDH1,-11.554342,-5.8155136
SLC30A9,-16.55258,-0.3845747
MTMR11,-10.971874,0.35752672
COX15,-17.11678,-0.9485141
CCDC88C,-12.909804,-0.44244376
YAF2,-16.673977,0.17790823
ZMYND11,-14.416583,-4.026267
WAS,-12.473802,-1.2164927
DPEP1,-10.708699,-2.8900952
BID,-16.869318,-2.4570363
MATR3,-12.591851,-5.1321087
NPC1L1,-10.227084,-0.024256092
XYLT2,-10.961136,-0.15695447
RGPD5,-15.6603155,1.0052111
STMN4,-13.141203,-3.2399719
NUDCD3,-13.943061,2.7314324
ISL1,-13.376311,2.2748601
CHDH,-9.98836,0.56770164
IL20RA,-8.70392,1.257981
CLCA1,-10.245416,-1.1673182
CLCA4,-7.8377504,0.3638763
GLT8D1,-15.344847,-3.6691802
ATP2C1,-15.265884,-3.7502909
IGF1,-15.475229,-1.3876798
SLC38A5,-10.756209,-2.8264353
RALBP1,-15.779184,-3.4383206
RUFY3,-14.441177,-3.0517623
CNTN1,-13.836628,-2.1222816
SLC11A1,-13.0541525,0.3229467
WWTR1,-15.234146,-2.4086742
AGPS,-16.736557,-0.008393526
STEEP1,-16.359383,0.29181042
ATP1A2,-12.729757,-5.8047004
